Rocky Mountain No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMD_EPD2DXL0_PTE_R40_DPG&f=A,
13:45:41 GMT-0600 (Mountain Daylight Time),
Source: U.S. Energy Information Administration,
Year,Rocky Mountain No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices Dollars per Gallon
2020,2.517
2019,3.043
2018,3.222
2017,2.712
2016,2.31
2015,2.674
2014,3.848
2013,3.876
2012,3.982
2011,3.867
2010,3.026
2009,2.476
2008,3.797
